Soil Type,Soil Moisture (%),Temperature (°C),Rainfall (mm),Humidity (%),Seed Type,Depth (inches)
sandy,18.09,-7.34,1.73,13.19,beans,4.21
clay,99.43,-2.59,10.86,63.38,corn,1.61
sandy,10.22,-6.42,2.24,21.86,peanuts,3.46
clay,55.18,32.92,9.5,17.96,maize,4.03
sandy,96.1,10.81,0.04,33.49,wheat,1.13
loamy,49.45,23.94,9.21,47.62,barley,1.77
loamy,51.5,43.95,21.3,18.24,corn,1.59
clay,68.42,27.79,13.67,90.39,carrot,1.14
loamy,68.57,28.07,29.01,80.9,cotton,1.24
loamy,1.18,33.35,14.76,2.23,wheat,1.35
sandy,27.43,-14.96,15.82,8.59,carrot,1.07
loamy,34.22,16.1,8.32,57.03,barley,1.84
loamy,92.11,28.22,3.21,0.44,rice,2.42
loamy,38.06,23.64,9.67,40.12,rice,2.0
sandy,15.02,3.51,12.23,44.95,rice,2.98
loamy,77.06,38.62,25.84,96.16,wheat,1.05
sandy,0.58,7.54,2.3,3.82,maize,4.92
clay,98.79,37.99,15.45,82.85,cotton,1.24
sandy,99.66,36.57,3.14,88.0,wheat,1.32
sandy,25.62,-10.91,14.78,64.29,cotton,1.48
loamy,59.31,26.58,18.87,97.9,carrot,1.4
clay,11.29,-9.67,22.68,0.88,wheat,1.06
loamy,67.03,41.46,10.92,61.3,soybean,1.38
loamy,45.2,17.44,8.54,38.1,corn,1.6
loamy,31.36,23.71,14.38,9.86,soybean,1.18
clay,75.83,33.83,24.78,71.66,soybean,1.17
loamy,38.4,23.37,9.12,35.34,rice,2.72
loamy,94.02,39.64,25.13,90.33,carrot,1.4
loamy,44.48,-0.25,11.82,65.15,corn,2.14
loamy,62.57,39.71,5.85,14.16,sunflower,2.7
loamy,62.64,40.14,5.63,45.62,barley,1.89
loamy,30.38,22.18,8.15,44.81,rice,2.56
sandy,27.48,-14.26,28.31,3.0,barley,2.85
clay,66.14,14.81,20.91,50.21,carrot,1.23
loamy,30.36,17.82,6.02,45.59,corn,2.83
clay,57.4,14.3,12.99,68.54,cotton,1.45
sandy,91.66,3.93,10.86,88.68,soybean,1.33
loamy,81.79,31.55,11.05,70.15,wheat,1.39
sandy,34.09,-11.77,29.23,27.75,wheat,1.28
clay,92.19,25.89,16.17,93.63,carrot,1.48
loamy,4.31,-5.55,13.9,47.05,cotton,1.04
loamy,53.14,25.96,16.4,61.36,soybean,1.14
sandy,21.01,-7.16,12.15,3.22,barley,2.82
clay,0.59,-9.91,6.75,9.59,peanuts,4.13
clay,22.21,43.22,17.78,72.58,wheat,1.17
loamy,41.63,23.0,6.63,33.36,sunflower,1.9
clay,62.45,24.75,22.82,75.01,cotton,1.03
loamy,44.22,24.28,9.55,57.21,barley,2.09
loamy,89.31,31.31,29.78,19.75,barley,1.64
sandy,86.73,-1.42,18.52,13.57,soybean,1.36
loamy,40.27,17.56,5.54,54.28,barley,2.24
sandy,5.89,4.98,4.08,30.78,beans,4.03
clay,58.26,33.51,23.54,62.43,soybean,1.03
clay,99.49,-5.95,13.81,22.68,corn,1.75
loamy,43.44,21.36,9.13,37.21,corn,1.71
loamy,55.08,32.08,25.78,89.48,cotton,1.15
clay,64.04,30.68,18.81,78.47,beans,3.9
loamy,56.97,19.99,27.48,29.71,peanuts,3.17
clay,58.69,38.07,20.45,94.79,wheat,1.19
clay,5.36,-10.99,9.62,80.43,sunflower,1.72
loamy,48.62,23.09,6.24,54.11,barley,1.67
loamy,13.62,29.3,20.78,31.39,wheat,1.48
loamy,33.22,15.38,6.19,54.78,barley,2.78
clay,85.93,34.34,17.02,92.71,cotton,1.07
clay,63.2,32.01,18.64,76.41,soybean,1.5
loamy,89.32,36.86,27.63,78.6,wheat,1.03
loamy,54.98,32.05,17.24,86.24,soybean,1.19
clay,62.93,38.33,24.09,65.97,cotton,1.15
loamy,34.07,21.46,8.52,43.01,barley,1.72
clay,99.57,4.8,22.31,39.74,corn,2.12
loamy,98.21,13.72,11.53,64.64,sunflower,2.26
loamy,32.98,15.23,8.65,54.12,barley,2.18
clay,52.71,42.53,28.01,94.7,carrot,1.4
loamy,60.4,37.33,26.6,76.32,wheat,1.16
clay,50.53,36.66,6.99,25.33,cotton,1.2
sandy,25.69,13.89,2.0,28.82,beans,4.67
loamy,35.6,20.99,8.49,56.71,sunflower,2.11
sandy,12.43,-0.0,2.15,8.4,beans,3.71
loamy,42.18,5.86,20.83,97.84,peanuts,3.2
clay,32.96,44.65,12.64,16.76,cotton,1.13
sandy,96.91,0.75,25.15,75.22,corn,2.76
loamy,30.8,23.72,8.19,54.58,barley,2.63
sandy,27.64,10.41,1.46,13.9,peanuts,4.99
loamy,93.24,37.0,24.19,62.75,soybean,1.13
sandy,20.67,23.54,27.27,41.58,carrot,1.22
clay,57.0,33.06,11.13,91.8,carrot,1.19
clay,25.53,-2.24,29.75,50.99,rice,2.89
loamy,48.57,15.03,8.47,58.69,corn,2.65
loamy,22.06,33.84,5.46,30.34,sunflower,1.86
loamy,88.55,35.57,26.52,70.12,wheat,1.22
sandy,69.02,-9.3,19.14,1.64,barley,2.64
sandy,35.99,2.07,14.69,92.35,maize,3.1
clay,56.34,42.91,28.86,46.53,cotton,1.11
loamy,40.1,23.81,9.2,46.76,sunflower,1.77
loamy,69.68,43.05,19.51,88.36,soybean,1.26
loamy,55.06,-0.31,10.12,74.87,beans,3.47
clay,13.45,-12.23,18.93,90.09,soybean,1.06
sandy,11.97,12.72,0.2,37.55,peanuts,3.19
clay,69.51,43.02,27.97,80.16,cotton,1.23
sandy,88.56,-10.31,23.02,44.07,maize,4.85
sandy,47.35,35.86,9.58,21.05,sunflower,1.72
sandy,98.16,3.53,23.31,99.7,beans,4.3
sandy,14.85,14.26,22.4,73.77,barley,2.86
sandy,17.33,9.02,2.96,24.7,peanuts,3.09
clay,94.1,41.81,11.43,81.06,carrot,1.22
sandy,37.67,22.38,7.69,24.8,carrot,1.29
loamy,81.89,2.62,1.47,15.39,maize,3.76
loamy,20.74,42.25,12.72,99.97,sunflower,2.2
loamy,38.02,24.04,7.63,34.89,sunflower,2.03
loamy,47.03,18.99,9.38,33.07,sunflower,1.62
clay,81.03,20.84,5.73,36.38,wheat,1.01
sandy,97.66,13.27,6.84,95.01,wheat,1.0
clay,44.37,40.21,0.31,28.17,peanuts,4.43
loamy,1.44,39.81,21.67,58.82,peanuts,4.07
loamy,45.74,33.07,4.15,64.75,peanuts,3.96
sandy,39.83,23.37,8.57,61.33,rice,2.44
loamy,89.62,40.69,28.44,64.27,wheat,1.19
loamy,39.68,19.25,6.94,58.23,rice,2.48
loamy,38.89,24.02,5.73,46.53,sunflower,2.57
loamy,21.2,6.79,13.44,8.47,cotton,1.25
sandy,7.65,-6.55,3.0,13.83,maize,4.44
loamy,49.69,22.96,5.73,57.65,sunflower,2.53
loamy,47.91,20.04,7.1,34.36,corn,2.12
clay,80.13,37.03,19.75,97.52,soybean,1.07
clay,48.71,23.91,6.85,43.58,cotton,1.4
loamy,31.22,19.07,5.81,41.95,rice,2.15
loamy,44.13,35.34,19.77,42.33,peanuts,3.61
loamy,89.52,34.22,17.19,6.76,soybean,1.3
clay,61.55,-11.7,2.08,88.66,cotton,1.28
clay,62.11,7.39,25.48,18.36,wheat,1.36
clay,97.67,41.5,21.17,80.38,cotton,1.44
clay,60.46,42.33,12.7,94.66,corn,1.53
sandy,25.45,5.91,2.46,32.63,peanuts,4.36
clay,94.02,33.06,10.03,71.37,soybean,1.12
clay,9.44,-10.7,16.27,85.39,barley,2.62
loamy,35.1,19.42,8.47,34.61,corn,2.22
loamy,15.65,38.64,1.34,77.39,beans,4.12
loamy,8.01,2.59,24.84,36.17,wheat,1.33
clay,50.67,34.72,25.06,86.52,carrot,1.04
loamy,16.86,2.16,14.14,84.47,carrot,1.03
loamy,45.13,20.76,9.64,47.48,corn,2.16
loamy,50.2,43.53,25.41,58.99,wheat,1.14
clay,93.71,1.13,26.65,91.29,maize,4.16
clay,10.72,11.56,1.0,44.33,corn,2.98
clay,48.42,6.59,4.04,64.77,peanuts,4.21
clay,2.02,5.75,15.83,47.12,carrot,1.2
clay,72.13,35.8,17.18,80.99,cotton,1.12
loamy,96.52,26.75,24.65,61.05,cotton,1.49
clay,83.26,41.58,16.48,77.47,carrot,1.45
loamy,97.35,-4.52,3.51,54.15,rice,2.44
clay,89.3,40.3,26.91,62.56,wheat,1.45
clay,58.49,40.8,18.66,85.4,wheat,1.01
loamy,30.44,22.33,5.41,33.79,sunflower,3.0
loamy,73.55,27.66,10.2,70.11,soybean,1.46
sandy,22.23,5.75,1.62,2.35,maize,4.87
clay,95.03,32.44,21.28,98.08,carrot,1.34
sandy,91.84,29.78,1.94,98.18,carrot,1.15
clay,47.15,3.76,26.57,51.59,maize,3.78
sandy,14.39,-7.78,3.41,12.82,beans,4.51
loamy,37.58,16.71,6.59,51.09,barley,2.11
loamy,58.36,-6.61,10.84,0.41,carrot,1.33
sandy,20.34,10.61,0.94,35.29,beans,4.7
clay,9.63,-14.85,28.01,9.86,peanuts,4.53
sandy,70.92,18.7,16.77,8.13,corn,2.85
loamy,32.94,17.84,7.98,32.88,sunflower,1.73
sandy,11.59,-20.74,2.17,17.67,beans,3.56
clay,79.31,14.83,6.68,12.84,rice,1.64
clay,69.83,42.63,4.03,19.65,rice,2.51
sandy,47.43,20.41,8.2,33.61,corn,2.22
loamy,39.66,18.64,7.83,35.67,sunflower,2.13
sandy,21.82,41.47,26.07,89.69,maize,4.0
loamy,73.97,27.1,18.51,97.31,soybean,1.1
clay,65.53,-4.34,0.96,68.43,beans,3.51
loamy,39.31,20.74,8.73,45.62,barley,1.9
loamy,44.41,15.97,8.87,38.04,corn,1.56
loamy,36.45,24.75,8.06,44.76,barley,2.12
loamy,89.42,26.51,18.3,84.27,cotton,1.42
loamy,94.91,21.55,6.58,58.63,wheat,1.12
loamy,33.94,15.17,5.9,49.11,corn,2.63
sandy,2.02,-5.1,2.58,21.12,maize,3.77
clay,39.29,27.0,12.32,77.83,soybean,1.47
sandy,40.27,22.57,17.02,6.93,barley,2.09
sandy,83.98,26.68,3.44,88.93,cotton,1.16
sandy,90.64,44.79,11.85,13.45,carrot,1.13
loamy,31.96,23.02,6.23,32.5,rice,2.19
loamy,66.97,26.19,18.4,88.06,wheat,1.36
sandy,15.86,10.58,4.58,56.41,carrot,1.47
sandy,9.32,21.26,27.12,55.71,beans,4.98
loamy,29.15,2.29,12.59,3.07,wheat,1.4
clay,90.17,13.46,26.05,37.8,beans,3.43
loamy,30.59,18.67,9.06,43.88,barley,1.52
sandy,16.44,-3.74,0.38,5.26,beans,3.89
clay,65.38,37.79,27.47,76.96,cotton,1.06
loamy,67.37,26.95,29.66,82.84,wheat,1.3
sandy,29.69,7.64,3.7,13.61,beans,3.33
sandy,6.89,-0.85,2.76,30.19,beans,3.61
sandy,83.75,-5.22,18.28,95.88,sunflower,2.45
loamy,89.67,38.18,26.08,70.75,carrot,1.5
sandy,75.49,-12.53,28.6,53.21,soybean,1.4
clay,88.58,6.71,9.5,38.95,soybean,1.03
loamy,37.92,21.12,7.89,31.49,sunflower,2.52
clay,60.96,41.78,10.04,61.19,wheat,1.36
clay,82.48,42.51,27.65,89.47,carrot,1.43
sandy,99.55,-7.52,29.1,26.91,corn,2.99
clay,96.49,18.8,27.63,59.94,sunflower,2.31
loamy,11.97,-8.23,10.06,16.08,rice,2.13
loamy,43.2,22.78,9.4,46.37,barley,2.6
clay,14.48,14.53,26.76,93.19,carrot,1.0
loamy,79.45,26.09,10.87,88.33,cotton,1.1
clay,12.84,27.72,28.31,84.65,sunflower,2.17
sandy,34.63,34.43,24.15,85.15,sunflower,2.4
sandy,32.97,20.11,23.19,2.8,carrot,1.35
clay,95.15,-5.21,8.81,21.61,soybean,1.06
loamy,30.13,19.27,6.31,45.29,rice,2.52
sandy,2.11,-0.84,1.71,13.04,beans,3.54
sandy,30.55,43.77,2.86,48.5,corn,2.38
loamy,34.85,20.23,9.61,44.72,rice,2.97
clay,8.86,32.25,9.59,50.38,peanuts,3.77
clay,28.08,33.41,26.31,79.8,soybean,1.27
clay,79.4,38.37,10.13,69.18,soybean,1.34
loamy,64.73,25.55,13.95,5.12,carrot,1.01
loamy,40.92,19.96,7.81,36.01,rice,2.21
clay,74.61,35.3,11.89,61.7,rice,2.61
clay,94.95,36.43,17.98,69.09,carrot,1.47
loamy,35.97,23.43,7.65,46.33,barley,2.66
clay,6.71,17.27,14.03,27.94,peanuts,3.11
sandy,1.24,-16.52,1.11,36.36,peanuts,4.33
sandy,9.7,7.82,0.08,3.29,peanuts,3.27
sandy,23.13,10.85,2.26,21.32,peanuts,4.85
sandy,29.27,17.75,13.95,59.3,barley,2.52
loamy,82.82,-3.62,17.94,36.37,peanuts,4.83
sandy,48.98,-1.23,4.5,12.58,soybean,1.31
loamy,57.43,15.1,0.04,32.59,soybean,1.02
clay,52.3,20.3,10.75,14.68,corn,2.2
sandy,13.54,22.0,25.31,30.8,carrot,1.15
clay,50.34,32.96,18.19,77.61,wheat,1.17
loamy,71.12,7.2,0.55,83.43,sunflower,2.52
sandy,53.98,27.14,24.61,65.27,rice,1.74
clay,98.45,44.74,29.67,89.77,cotton,1.47
loamy,75.52,41.32,21.89,89.51,carrot,1.19
clay,50.86,7.52,14.95,62.37,cotton,1.27
loamy,32.23,16.2,5.01,41.11,corn,2.03
clay,60.3,15.08,13.32,52.03,corn,2.4
sandy,17.82,6.51,2.12,36.81,peanuts,3.5
sandy,91.33,40.48,10.8,55.21,corn,2.93
clay,48.96,19.91,3.53,40.76,carrot,1.37
sandy,43.2,36.19,26.47,12.93,barley,2.28
loamy,35.04,21.16,8.75,55.22,rice,2.41
clay,92.58,37.42,26.01,76.18,carrot,1.26
sandy,59.7,35.74,21.1,33.46,sunflower,2.78
loamy,88.83,28.76,26.98,70.3,soybean,1.21
sandy,93.16,-14.82,26.31,92.71,cotton,1.2
loamy,15.96,14.87,26.06,97.16,peanuts,3.19
loamy,47.78,23.96,5.57,31.25,rice,1.68
sandy,46.72,25.77,15.17,42.36,cotton,1.35
clay,45.29,-10.58,14.22,79.92,carrot,1.02
sandy,0.62,-21.87,4.63,7.78,beans,3.36
loamy,92.85,39.09,27.02,67.0,carrot,1.16
sandy,8.36,-2.64,1.35,6.58,maize,3.29
loamy,97.28,27.6,17.71,69.88,cotton,1.1
sandy,17.08,5.16,3.05,10.16,beans,4.35
loamy,45.87,19.82,5.21,58.35,rice,2.99
sandy,88.7,28.31,19.09,82.64,wheat,1.35
sandy,3.58,25.76,19.52,81.44,maize,4.24
sandy,51.58,43.0,10.6,26.06,rice,1.78
clay,54.49,40.23,24.53,73.28,cotton,1.06
loamy,40.66,23.19,7.64,47.38,corn,2.85
sandy,1.16,3.1,1.94,24.42,peanuts,4.2
clay,93.57,32.99,14.42,73.21,soybean,1.29
sandy,14.35,-12.12,2.1,39.84,maize,3.68
sandy,47.35,11.74,8.66,68.02,rice,2.54
clay,81.8,34.32,26.88,73.84,cotton,1.3
loamy,32.53,23.14,6.8,30.95,rice,2.28
clay,33.27,26.7,16.3,35.37,maize,4.91
sandy,65.29,11.57,1.81,18.53,cotton,1.38
loamy,77.67,33.7,23.31,66.67,soybean,1.42
loamy,2.89,6.84,5.5,72.61,beans,4.86
loamy,41.89,17.07,8.45,51.38,corn,1.7
sandy,5.89,-24.28,1.95,17.73,maize,3.42
clay,38.35,5.35,1.44,19.06,wheat,1.35
clay,57.95,6.74,23.15,72.24,rice,2.93
loamy,50.1,29.4,26.24,91.65,soybean,1.33
sandy,77.16,-4.38,29.57,67.69,sunflower,2.62
loamy,84.34,-0.37,25.62,96.76,carrot,1.07
sandy,21.06,7.07,17.26,9.26,maize,4.26
clay,3.42,-7.82,6.65,64.49,maize,4.78
loamy,66.65,-2.77,22.85,69.28,wheat,1.02
clay,33.73,14.18,21.57,96.09,cotton,1.06
loamy,37.55,22.73,8.57,45.21,barley,2.14
loamy,46.65,24.45,9.48,57.47,corn,1.53
sandy,20.49,-12.03,1.49,16.88,beans,4.43
sandy,18.49,-1.28,1.23,37.35,beans,3.25
loamy,84.05,28.97,25.34,91.37,wheat,1.15
loamy,66.39,33.43,17.35,80.13,carrot,1.39
sandy,8.31,28.0,21.99,4.77,corn,2.98
loamy,41.83,10.36,10.72,48.52,peanuts,3.89
loamy,99.49,33.19,9.29,49.38,sunflower,1.78
clay,51.53,31.27,24.7,76.52,wheat,1.05
sandy,15.09,-2.55,3.91,27.8,maize,4.81
sandy,49.3,33.47,7.34,80.18,sunflower,2.86
clay,54.18,20.74,18.99,47.12,rice,1.53
sandy,16.31,-15.01,0.61,19.17,beans,4.01
loamy,56.87,39.17,16.23,87.88,cotton,1.33
clay,33.64,-6.68,10.9,92.69,sunflower,2.76
loamy,36.63,15.86,7.62,40.68,barley,2.79
loamy,71.85,32.53,18.92,90.95,barley,1.71
clay,11.3,-0.76,24.55,53.06,barley,1.65
loamy,47.54,22.78,6.74,32.01,corn,2.46
loamy,33.86,16.83,7.32,48.0,rice,2.73
loamy,47.34,18.88,7.11,36.23,sunflower,2.54
loamy,91.91,33.5,20.32,66.63,cotton,1.23
sandy,27.0,-22.25,2.11,22.57,maize,4.66
clay,8.19,-4.52,19.79,54.91,beans,4.87
sandy,2.66,14.84,0.38,6.91,peanuts,4.08
clay,92.48,29.12,15.61,80.02,soybean,1.09
sandy,74.65,32.76,20.47,38.47,beans,4.7
sandy,88.28,33.31,6.27,17.4,soybean,1.1
clay,83.23,29.87,12.83,69.16,wheat,1.3
loamy,36.86,18.97,8.81,37.34,rice,2.11
sandy,77.49,18.43,3.02,94.73,wheat,1.26
sandy,21.36,9.3,11.57,3.99,peanuts,4.95
clay,51.17,36.09,12.21,81.82,cotton,1.3
sandy,98.53,22.9,19.22,1.41,soybean,1.45
loamy,84.17,29.42,11.75,76.46,cotton,1.02
loamy,48.56,18.65,9.87,57.73,barley,1.92
loamy,30.21,18.73,8.72,51.19,sunflower,2.6
clay,5.39,-6.08,23.9,14.07,rice,2.65
loamy,30.27,17.09,5.78,57.53,barley,2.82
loamy,80.86,27.17,28.86,96.33,cotton,1.02
loamy,54.04,34.78,13.87,22.34,beans,4.98
loamy,67.34,41.5,26.49,96.0,cotton,1.28
sandy,77.05,6.84,5.59,55.17,corn,2.75
loamy,97.02,26.59,12.13,66.84,maize,4.63
loamy,36.32,19.55,5.71,48.91,corn,2.96
sandy,30.62,30.89,5.2,60.76,peanuts,4.64
loamy,37.74,19.6,8.89,54.66,rice,2.3
sandy,32.5,14.5,3.46,95.44,sunflower,2.34
clay,29.65,21.87,25.7,22.53,barley,1.87
loamy,31.66,19.96,6.29,53.42,barley,1.59
clay,97.8,40.75,16.14,99.56,wheat,1.07
loamy,32.24,-2.53,12.54,15.44,cotton,1.07
sandy,16.27,-1.1,4.58,36.41,maize,4.41
sandy,91.8,-14.79,14.89,68.03,soybean,1.2
loamy,59.43,27.05,29.49,99.8,cotton,1.0
loamy,70.82,-11.26,11.03,54.08,sunflower,2.42
clay,64.14,-11.16,6.0,0.76,peanuts,4.52
loamy,49.26,21.39,7.15,50.37,sunflower,2.87
loamy,32.58,21.99,8.12,35.52,rice,2.41
clay,94.92,26.78,1.54,24.35,beans,4.29
sandy,21.85,1.01,1.63,20.58,beans,3.95
loamy,69.04,38.76,27.17,82.76,carrot,1.1
clay,18.39,32.87,23.06,36.02,barley,1.58
clay,62.25,15.55,22.3,63.42,cotton,1.43
sandy,1.85,18.62,9.28,24.28,barley,2.07
loamy,88.31,42.39,19.08,74.76,wheat,1.07
sandy,27.95,-14.46,3.96,20.3,peanuts,4.43
clay,78.42,29.45,15.46,71.64,carrot,1.02
loamy,34.78,20.14,7.56,45.63,corn,2.6
loamy,93.31,35.03,5.4,67.83,barley,1.62
sandy,5.41,2.93,4.07,33.59,maize,4.25
loamy,12.28,30.4,25.52,55.33,carrot,1.05
clay,61.18,-13.46,18.35,33.67,peanuts,4.5
loamy,37.54,18.78,8.22,56.19,rice,1.97
sandy,73.18,-6.08,21.62,25.51,barley,1.6
clay,50.51,42.66,13.62,62.4,cotton,1.48
loamy,76.93,-14.25,21.97,13.05,corn,2.01
clay,5.68,19.0,9.72,37.63,sunflower,1.8
loamy,73.35,27.44,10.89,82.6,cotton,1.41
sandy,12.31,-24.41,2.85,27.93,beans,3.45
clay,60.11,31.23,17.39,81.31,cotton,1.38
clay,44.07,-10.71,9.71,43.29,carrot,1.16
sandy,18.71,-12.79,2.26,26.16,peanuts,3.2
sandy,16.5,-24.36,1.24,17.5,beans,4.13
clay,7.6,44.23,24.65,88.28,beans,4.72
loamy,43.29,19.42,5.73,40.93,sunflower,2.36
sandy,3.57,11.4,2.68,35.73,maize,3.49
loamy,38.16,16.81,7.05,44.92,sunflower,1.85
loamy,90.77,-5.68,19.48,56.5,barley,2.91
sandy,55.19,-13.67,18.82,58.38,wheat,1.27
clay,58.42,1.83,3.53,76.6,peanuts,3.99
loamy,24.96,40.84,12.63,50.88,peanuts,4.56
sandy,14.53,28.74,9.71,13.87,sunflower,1.84
sandy,32.43,43.62,13.44,68.65,beans,3.98
loamy,49.41,15.47,7.95,48.88,corn,1.75
loamy,49.74,22.03,9.38,41.1,sunflower,2.82
loamy,36.36,15.45,7.82,39.35,corn,2.02
clay,97.09,39.45,29.91,75.45,soybean,1.39
loamy,78.04,-14.39,3.48,28.33,peanuts,3.15
loamy,69.39,25.52,12.31,81.27,soybean,1.17
sandy,69.79,14.38,8.41,53.53,wheat,1.06
loamy,44.22,23.13,8.1,48.75,sunflower,2.69
loamy,47.91,19.01,9.46,49.15,rice,1.74
sandy,12.68,6.83,3.24,34.96,peanuts,3.78
loamy,40.83,24.57,5.75,32.5,corn,2.8
sandy,43.64,-10.69,17.19,94.04,wheat,1.26
sandy,39.0,36.81,6.97,19.49,sunflower,2.12
clay,98.57,32.26,24.65,70.35,cotton,1.23
sandy,46.36,9.5,19.96,40.32,barley,2.84
sandy,18.83,-21.74,2.13,5.49,peanuts,4.72
loamy,26.23,-4.42,11.43,2.39,peanuts,4.63
loamy,11.36,-6.65,24.07,96.97,soybean,1.21
clay,84.45,40.83,17.5,93.3,wheat,1.05
clay,49.4,6.6,11.96,48.51,cotton,1.47
sandy,17.87,7.31,2.43,13.33,beans,4.93
clay,61.13,41.35,13.11,95.8,cotton,1.32
clay,42.02,-3.42,6.6,36.72,wheat,1.22
sandy,93.58,-13.45,0.01,29.01,rice,2.58
loamy,43.18,18.95,6.49,54.59,barley,2.54
loamy,71.15,38.1,12.53,84.6,carrot,1.03
clay,6.47,16.4,1.31,72.88,cotton,1.07
clay,17.62,-0.27,3.79,90.25,soybean,1.03
loamy,43.86,15.55,9.81,44.19,barley,2.26
clay,94.14,36.19,27.18,66.17,wheat,1.19
loamy,72.25,-3.82,1.39,24.1,soybean,1.05
clay,57.89,41.82,15.12,66.87,cotton,1.41
loamy,93.11,24.5,27.81,99.57,cotton,1.33
sandy,93.57,22.56,1.46,87.54,wheat,1.21
loamy,57.5,25.09,21.16,81.99,wheat,1.12
sandy,15.07,-12.89,1.04,20.38,carrot,1.36
clay,80.42,33.61,24.88,63.96,cotton,1.28
clay,46.77,-9.34,12.49,93.14,barley,1.99
sandy,12.88,2.96,1.83,15.81,peanuts,4.19
clay,70.49,36.24,5.7,14.79,soybean,1.12
